DATE,CWSR0000SEEE
2006-01-01,13.600
2006-02-01,13.500
2006-03-01,13.500
2006-04-01,13.400
2006-05-01,13.300
2006-06-01,13.300
2006-07-01,13.300
2006-08-01,13.100
2006-09-01,12.900
2006-10-01,12.400
2006-11-01,11.900
2006-12-01,11.700
2007-01-01,11.299
2007-02-01,11.256
2007-03-01,11.252
2007-04-01,11.271
2007-05-01,11.228
2007-06-01,11.079
2007-07-01,11.014
2007-08-01,10.978
2007-09-01,10.981
2007-10-01,10.896
2007-11-01,10.736
2007-12-01,10.751
2008-01-01,10.726
2008-02-01,10.732
2008-03-01,10.705
2008-04-01,10.621
2008-05-01,10.606
2008-06-01,10.601
2008-07-01,10.606
2008-08-01,10.539
2008-09-01,10.442
2008-10-01,10.394
2008-11-01,10.387
2008-12-01,10.430
2009-01-01,10.416
2009-02-01,10.417
2009-03-01,10.340
2009-04-01,10.338
2009-05-01,10.252
2009-06-01,10.243
2009-07-01,10.115
2009-08-01,10.026
2009-09-01,10.002
2009-10-01,10.021
2009-11-01,9.993
2009-12-01,9.958
2010-01-01,9.975
2010-02-01,10.059
2010-03-01,10.073
2010-04-01,10.049
2010-05-01,10.013
2010-06-01,9.968
2010-07-01,9.956
2010-08-01,9.962
2010-09-01,9.922
2010-10-01,9.884
2010-11-01,9.863
2010-12-01,9.789
2011-01-01,9.746
2011-02-01,9.706
2011-03-01,9.662
2011-04-01,9.633
2011-05-01,9.587
2011-06-01,9.534
2011-07-01,9.557
2011-08-01,9.533
2011-09-01,9.504
2011-10-01,9.485
2011-11-01,9.463
2011-12-01,9.434
2012-01-01,9.452
2012-02-01,9.408
2012-03-01,9.359
2012-04-01,9.362
2012-05-01,9.415
2012-06-01,9.373
2012-07-01,9.340
2012-08-01,9.236
2012-09-01,9.207
2012-10-01,9.167
2012-11-01,9.136
2012-12-01,9.138
2013-01-01,9.146
2013-02-01,9.178
2013-03-01,9.206
2013-04-01,9.128
2013-05-01,9.105
2013-06-01,9.063
2013-07-01,9.012
2013-08-01,9.039
2013-09-01,9.057
2013-10-01,9.019
2013-11-01,9.001
2013-12-01,9.007
2014-01-01,8.972
2014-02-01,8.953
2014-03-01,8.956
2014-04-01,8.954
2014-05-01,8.959
2014-06-01,8.951
2014-07-01,8.992
2014-08-01,8.981
2014-09-01,8.925
2014-10-01,8.927
2014-11-01,8.876
2014-12-01,8.826
2015-01-01,8.799
2015-02-01,8.783
2015-03-01,8.776
2015-04-01,8.751
2015-05-01,8.693
2015-06-01,8.649
2015-07-01,8.595
2015-08-01,8.501
2015-09-01,8.521
2015-10-01,8.556
2015-11-01,8.526
2015-12-01,8.491
2016-01-01,8.468
2016-02-01,8.464
2016-03-01,8.500
2016-04-01,8.470
2016-05-01,8.429
2016-06-01,8.385
2016-07-01,8.380
2016-08-01,8.366
2016-09-01,8.375
2016-10-01,8.305
2016-11-01,8.335
2016-12-01,8.299
2017-01-01,8.321
2017-02-01,8.288
2017-03-01,8.266
2017-04-01,8.308
2017-05-01,8.272
2017-06-01,8.269
2017-07-01,8.187
2017-08-01,8.158
2017-09-01,8.131
2017-10-01,8.131
2017-11-01,8.116
2017-12-01,8.101
2018-01-01,8.122
2018-02-01,8.052
2018-03-01,8.019
2018-04-01,7.990
2018-05-01,8.039
2018-06-01,8.092
2018-07-01,8.098
2018-08-01,8.084
2018-09-01,8.106
2018-10-01,8.060
2018-11-01,8.041
2018-12-01,8.054
2019-01-01,8.077
2019-02-01,8.057
2019-03-01,8.003
2019-04-01,8.013
2019-05-01,7.985
2019-06-01,7.979
2019-07-01,8.009
2019-08-01,8.025
2019-09-01,7.966
2019-10-01,7.943
2019-11-01,8.007
2019-12-01,7.984
2020-01-01,8.030
2020-02-01,8.028
2020-03-01,8.000
2020-04-01,8.013
2020-05-01,7.999
2020-06-01,7.982
2020-07-01,7.971
2020-08-01,7.964
2020-09-01,7.929
2020-10-01,7.912
2020-11-01,7.950
2020-12-01,7.956
2021-01-01,7.942
2021-02-01,7.919
2021-03-01,7.903
2021-04-01,7.999
2021-05-01,7.997
2021-06-01,7.983
2021-07-01,8.006
2021-08-01,8.075
2021-09-01,8.116
2021-10-01,8.096
2021-11-01,8.081
2021-12-01,8.094
2022-01-01,8.099
2022-02-01,8.051
2022-03-01,8.009
2022-04-01,7.915
2022-05-01,7.873
2022-06-01,7.862
2022-07-01,7.786
2022-08-01,7.755
2022-09-01,7.719
