DATE,QFR101COMUSNO
2000-10-01,156237
2001-01-01,143589
2001-04-01,129629
2001-07-01,118324
2001-10-01,114099
2002-01-01,109628
2002-04-01,110307
2002-07-01,109010
2002-10-01,111189
2003-01-01,104386
2003-04-01,105610
2003-07-01,107824
2003-10-01,126493
2004-01-01,121893
2004-04-01,128661
2004-07-01,132058
2004-10-01,139786
2005-01-01,133387
2005-04-01,137453
2005-07-01,139365
2005-10-01,146842
2006-01-01,139767
2006-04-01,142605
2006-07-01,146064
2006-10-01,138892
2007-01-01,134560
2007-04-01,136588
2007-07-01,143312
2007-10-01,150606
2008-01-01,139229
2008-04-01,144953
2008-07-01,148231
2008-10-01,143337
2009-01-01,125090
2009-04-01,126903
2009-07-01,132528
2009-10-01,141863
2010-01-01,138985
2010-04-01,148852
2010-07-01,154315
2010-10-01,154935
2011-01-01,146766
2011-04-01,149305
2011-07-01,150038
2011-10-01,158634
2012-01-01,145437
2012-04-01,148727
2012-07-01,147445
2012-10-01,154886
2013-01-01,141541
2013-04-01,147712
2013-07-01,149358
2013-10-01,161686
2014-01-01,145280
2014-04-01,151320
2014-07-01,154250
2014-10-01,168108
2015-01-01,150947
2015-04-01,155075
2015-07-01,155756
2015-10-01,170378
2016-01-01,151309
2016-04-01,154514
2016-07-01,160538
2016-10-01,173966
2017-01-01,156118
2017-04-01,157542
2017-07-01,164265
2017-10-01,180020
2018-01-01,163557
2018-04-01,171416
2018-07-01,175565
2018-10-01,187433
2019-01-01,170257
2019-04-01,171963
2019-07-01,179856
2019-10-01,187663
2020-01-01,162667
2020-04-01,151616
2020-07-01,163914
2020-10-01,187668
2021-01-01,171430
2021-04-01,176436
2021-07-01,181974
2021-10-01,201130
2022-01-01,188542
2022-04-01,192107
